,drawable-hdpi,drawable,drawable-xhdpi,drawable-mdpi,drawable-ldpi
a2s_icon,X,,,,
a3s_icon,X,,,,
akop_icon,X,,,,
andro_icon,X,,,,
bone_icon,X,,,,
btn_check_off_disabled_focused_holo_light,X,,,,
btn_check_off_disabled_holo_light,X,,,,
btn_check_off_focused_holo_light,X,,,,
btn_check_off_holo_light,X,,,,
btn_check_off_pressed_holo_light,X,,,,
btn_check_on_disabled_focused_holo_light,X,,,,
btn_check_on_disabled_holo_light,X,,,,
btn_check_on_focused_holo_light,X,,,,
btn_check_on_holo_light,X,,,,
btn_check_on_pressed_holo_light,X,,,,
btn_default,,X,,,
btn_default_disabled_focused_holo_light,X,,X,X,
btn_default_disabled_holo_light,X,,X,X,
btn_default_focused_holo_light,X,,X,X,
btn_default_normal,X,,,,
btn_default_normal_disable,X,,,,
btn_default_normal_disable_focused,X,,,,
btn_default_normal_holo_light,X,,X,X,
btn_default_pressed,X,,,,
btn_default_pressed_holo_light,X,,X,X,
btn_default_selected,X,,,,
btn_radio_holo_light,,X,,,
btn_radio_off_disabled_focused_holo_light,X,,,,
btn_radio_off_disabled_holo_light,X,,,,
btn_radio_off_focused_holo_light,X,,,,
btn_radio_off_holo_light,X,,,,
btn_radio_off_pressed_holo_light,X,,,,
btn_radio_on_disabled_focused_holo_light,X,,,,
btn_radio_on_disabled_holo_light,X,,,,
btn_radio_on_focused_holo_light,X,,,,
btn_radio_on_holo_light,X,,,,
btn_radio_on_pressed_holo_light,X,,,,
cherry_icon,X,,,,
cid_icon,X,,,,
cm7_icon,X,,,,
cm9_icon,X,,,,
cna_icon,X,,,,
dfs_icon,X,,,,
dialog_bottom_holo_light,X,,X,X,
dialog_full_holo_light,X,,X,X,
dialog_middle_holo_light,X,,X,,
dialog_top_holo_light,X,,X,X,
dx_icon,X,,,,
edit_text_holo_light,,X,,,
eppy_icon,X,,,,
froyo_icon,X,,,,
gb_icon,X,,,,
ic_action_add,X,,X,X,X
ic_action_help,X,,X,X,X
ic_action_refresh,X,,X,X,X
ic_launcher,X,,X,X,X
list_focused_holo,X,,,,
list_longpressed_holo,X,,,,
list_pressed_holo_light,X,,,,
list_selector_background_transition_holo_light,,X,,,
list_selector_disabled_holo_light,X,,,,
list_selector_holo_light,,X,,,
logo_vibhinna,X,,,,
menu_dropdown_panel_holo_light,X,,,,
miui4_icon,X,,,,
miui_icon,X,,,,
moto_icon,X,,,,
pikachu_icon,X,,,,
progress_bg_holo_light,X,,,,
progress_horizontal_holo_light,,X,,,
progress_indeterminate_horizontal_holo,,X,,,
progress_large_holo,,X,,,
progress_medium_holo,,X,,,
progress_primary_holo_light,X,,,,
progress_secondary_holo_light,X,,,,
progress_small_holo,,X,,,
progressbar_indeterminate_holo1,X,,,,
progressbar_indeterminate_holo2,X,,,,
progressbar_indeterminate_holo3,X,,,,
progressbar_indeterminate_holo4,X,,,,
progressbar_indeterminate_holo5,X,,,,
progressbar_indeterminate_holo6,X,,,,
progressbar_indeterminate_holo7,X,,,,
progressbar_indeterminate_holo8,X,,,,
quarx_icon,X,,,,
speed_icon,X,,,,
spinner_16_inner_holo,X,,,,
spinner_16_outer_holo,X,,,,
spinner_48_inner_holo,X,,,,
spinner_48_outer_holo,X,,,,
spinner_76_inner_holo,X,,,,
spinner_76_outer_holo,X,,,,
spinner_background_holo_light,,X,,,
spinner_default_holo_light,X,,,,
spinner_disabled_holo_light,X,,,,
spinner_focused_holo_light,X,,,,
spinner_pressed_holo_light,X,,,,
textfield_activated_holo_light,X,,,,
textfield_default_holo_light,X,,,,
textfield_disabled_focused_holo_light,X,,,,
textfield_disabled_holo_light,X,,,,
textfield_focused_holo_light,X,,,,
whiter_icon,X,,,,
wiui_icon,X,,,,
