,layout,layout-v11,layout-land-v11
alertTitle,X,,
button,X,,
cache,X,,
cache_size_editer,X,,
cache_size_picker,,X,X
cacheinfo,X,,
cbcount,X,,
cbsize,X,,
cfblock,X,,
cmagic,X,,
cspace,X,,
cstate,X,,
cuuid,X,,
data,X,,
data_size_editer,X,,
data_size_picker,,X,X
datainfo,X,,
dbcount,X,,
dbsize,X,,
delete,,,
desc,X,,
dfblock,X,,
dmagic,X,,
dspace,X,,
dstate,X,,
duuid,X,,
edit,,,
format,,,
icon,X,,
icon_and_memory,X,X,X
mblist,X,,
mbname,X,,
mbvalue,X,,
menu_new,,,
menu_refresh,,,
message,X,,
name,X,,
path,X,,
sbcount,X,,
sbsize,X,,
seticonimage,X,,
sfblock,X,,
smagic,X,,
spinner,X,X,X
sspace,X,,
sstate,X,,
status,X,,
suuid,X,,
system,X,,
system_size_editer,X,,
system_size_picker,,X,X
systeminfo,X,,
vsdesc,X,X,X
vsname,X,X,X
